,X,id,sale,rating,units,industry,product,country,return.client,contract,primary,secondary,deci5,aux,tsee,c1550,c1551,c1553,c1554,c1556,c1552,c15512,c1542,c1558,c1557,c1559,c15511,c15513,c15514,c15515
183,183,1486301878,4674,3.844600329,246,tech,NA,Australia,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
184,184,128024968,14393,4.96932707,646,tech,Series A,United Kingdom,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1
185,185,1489979034,12900,4.859812404,301,environmental,Series A,United States,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1
186,186,128041951,13673,4.918008178,592,tech,Series B,United States,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
187,187,9401779791,17900,5.187385806,502,environmental,Series A,Netherlands,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
188,188,3319426559,10030,4.608165695,54,tech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1
189,189,128094958,17280,5.152134856,468,tech,Series A,Netherlands,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
190,190,1482257858,16794,5.123606773,344,tech,Series B55,United States,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
191,191,3319344498,17900,5.187385806,439,biotech,Series C,Switzerland,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0
192,192,331934451X,32650,5.788429949,439,tech,Series C,Switzerland,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
193,193,386581431X,3999,3.688629423,164,environmental,Series C,Germany,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1
194,194,331941870X,32650,5.788429949,398,tech,Series A,Switzerland,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
195,195,9401774560,29002,5.669949886,402,tech,Series C,Netherlands,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
196,196,940177451X,15900,5.068904202,402,biotech,Series C,Netherlands,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
197,197,9401774544,15900,5.068904202,395,biotech,Series C,Netherlands,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1
198,198,9004314148,18120,5.199601394,322,tech,Series A,Netherlands,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
199,199,1771883847,14995,5.010301905,386,biotech,Series B55,Canada,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1
200,200,1771883855,17994,5.192623462,376,tech,Series B55,Canada,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1
201,201,3319267779,32650,5.788429949,401,tech,Series A,Switzerland,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1
202,202,3319354116,18900,5.241747015,511,environmental,Series A,Switzerland,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
203,203,3319267760,17900,5.187385806,370,biotech,Series A,Switzerland,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1
204,204,9812879528,36298,5.894347736,451,tech,Series A,Singapore,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1
205,205,1136456775,21000,5.347107531,416,tech,Series C,United Kingdom,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
206,206,9811027021,45418,6.118493595,405,tech,Series A,Singapore,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
207,207,3319254758,17900,5.187385806,344,biotech,Series C,Switzerland,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
208,208,1317293800,17400,5.159055299,287,tech,Series C,United Kingdom,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
209,209,1536102792,25029,5.522620246,218,biotech,Series C,United States,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
210,210,3319257161,5999,4.094177882,441,biotech,Series C,Switzerland,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
211,211,1771882298,17994,5.192623462,596,tech,Series B55,Canada,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
212,212,123850290,20153,5.305938254,764,tech,Series A,Netherlands,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
213,213,3662533871,17900,5.187385806,259,biotech,Series A,Germany,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
214,214,3662533898,32650,5.788429949,259,tech,Series A,Germany,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
215,215,331931436X,32650,5.788429949,431,tech,Series C,Switzerland,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
216,216,1119028558,8399,4.430697744,156,tech,Series B55,United States,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0
217,217,3319254529,8999,4.499698553,303,biotech,Series A,Switzerland,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0
218,218,1138986577,4795,3.870158801,130,environmental,Series C,United Kingdom,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
219,219,1482261006,8394,4.430102258,342,tech,Delta,United States,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
220,220,1118954564,10914,4.692631462,291,tech,Series A2,United States,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
221,221,1119226260,3999,3.688629423,80,environmental,Series A,United States,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0
222,222,1351725262,15834,5.06474462,240,tech,Series B55,United States,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0
223,223,3319413724,18058,5.196173893,198,tech,Series C,Switzerland,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
224,224,1486303110,4554,3.818591061,231,tech,Series A,Australia,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
225,225,1536102016,8200,4.406719247,134,environmental,Series C,United States,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
